epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,2244.13,2.18698,4.74613,0.04086,0.00484,0.27237,0.02307,0.01107,2.3128,4.14298,0.05941,6.57639e-05,6.57639e-05,6.57639e-05
21,2363.09,2.18069,4.72201,0.03986,0.00377,0.27899,0.02161,0.01006,2.32202,4.20334,0.05996,6.4962e-05,6.4962e-05,6.4962e-05
22,2493.04,2.13095,4.63558,0.03888,0.00624,0.30043,0.02456,0.01126,2.2984,3.94889,0.05856,6.41601e-05,6.41601e-05,6.41601e-05
23,2576.44,2.11891,4.58262,0.03849,0.00441,0.29763,0.02468,0.01154,2.27145,4.52508,0.05794,6.33582e-05,6.33582e-05,6.33582e-05
24,2647.03,2.11809,4.5466,0.03859,0.00379,0.33552,0.03293,0.01554,2.2331,4.17012,0.05685,6.25563e-05,6.25563e-05,6.25563e-05
25,2718.68,2.08935,4.51498,0.03811,0.00614,0.34044,0.03608,0.01654,2.23265,4.32612,0.05663,6.17544e-05,6.17544e-05,6.17544e-05
26,2780.99,2.07062,4.44746,0.03769,0.0048,0.34913,0.03106,0.0145,2.25094,4.1752,0.05756,6.09525e-05,6.09525e-05,6.09525e-05
27,2906.99,2.0609,4.41802,0.03783,0.0039,0.34802,0.03095,0.01495,nan,nan,nan,6.01506e-05,6.01506e-05,6.01506e-05
28,3036.03,2.03404,4.39966,0.03681,0.00511,0.3704,0.0332,0.01691,2.17941,4.0955,0.0553,5.93487e-05,5.93487e-05,5.93487e-05
29,3125.66,2.03017,4.37418,0.03646,0.40386,0.05326,0.04073,0.01955,nan,nan,nan,5.85468e-05,5.85468e-05,5.85468e-05
30,3206.82,2.02297,4.33031,0.03667,0.21476,0.1168,0.03642,0.01796,2.1872,3.96912,0.05547,5.77449e-05,5.77449e-05,5.77449e-05
31,3275.11,2.0239,4.32619,0.03634,0.52979,0.0223,0.04192,0.02094,2.1558,3.83269,0.05412,5.6943e-05,5.6943e-05,5.6943e-05
32,3388.08,2.01617,4.26799,0.03664,0.54084,0.02452,0.04379,0.02155,2.19544,3.80031,0.05556,5.61411e-05,5.61411e-05,5.61411e-05
33,3476.83,2.0081,4.23082,0.03581,0.52335,0.02754,0.04364,0.02184,nan,nan,nan,5.53392e-05,5.53392e-05,5.53392e-05
34,3547.41,1.98606,4.22804,0.03522,0.53342,0.02314,0.04359,0.02111,nan,nan,nan,5.45373e-05,5.45373e-05,5.45373e-05
35,3615.27,1.98254,4.22725,0.03568,0.4925,0.02318,0.04432,0.02226,nan,nan,nan,5.37354e-05,5.37354e-05,5.37354e-05
36,3685.83,1.95907,4.18486,0.03502,0.50475,0.02856,0.04485,0.02175,2.09169,3.88537,0.05234,5.29335e-05,5.29335e-05,5.29335e-05
37,3787.91,1.96046,4.18624,0.03485,0.5118,0.03477,0.04719,0.02355,nan,nan,nan,5.21316e-05,5.21316e-05,5.21316e-05
38,3865.65,1.96098,4.11959,0.03522,0.50819,0.04524,0.05218,0.02663,nan,nan,nan,5.13297e-05,5.13297e-05,5.13297e-05
39,3947.48,1.95971,4.13055,0.0347,0.47774,0.04399,0.04889,0.0239,nan,nan,nan,5.05278e-05,5.05278e-05,5.05278e-05
40,4026.92,1.95077,4.09155,0.03504,0.48893,0.04545,0.0516,0.02578,nan,nan,nan,4.97259e-05,4.97259e-05,4.97259e-05
41,4146.61,1.9282,4.09256,0.03434,0.49331,0.05333,0.05709,0.02891,nan,nan,nan,4.8924e-05,4.8924e-05,4.8924e-05
42,4290.69,1.94725,4.0621,0.03479,0.49623,0.05218,0.0572,0.02983,nan,nan,nan,4.81221e-05,4.81221e-05,4.81221e-05
43,4479.04,1.92322,4.02381,0.03417,0.4925,0.06061,0.06675,0.03737,nan,nan,nan,4.73202e-05,4.73202e-05,4.73202e-05
44,4604.12,1.93532,4.02091,0.0344,0.52196,0.05802,0.06085,0.03037,nan,nan,nan,4.65183e-05,4.65183e-05,4.65183e-05
45,4730.56,1.92366,4.00927,0.03446,0.51046,0.05249,0.0655,0.03495,nan,nan,nan,4.57164e-05,4.57164e-05,4.57164e-05
46,4808.96,1.91284,3.96154,0.0335,0.51083,0.05832,0.06174,0.03218,nan,nan,nan,4.49145e-05,4.49145e-05,4.49145e-05
47,4874.93,1.9175,3.99313,0.03395,0.50659,0.05853,0.06747,0.03427,nan,nan,nan,4.41126e-05,4.41126e-05,4.41126e-05
48,4972.32,1.8967,3.9342,0.03364,0.50734,0.05497,0.0722,0.03915,nan,nan,nan,4.33107e-05,4.33107e-05,4.33107e-05
49,5060.67,1.91003,3.93216,0.03376,0.50414,0.07319,0.07884,0.0405,nan,nan,nan,4.25088e-05,4.25088e-05,4.25088e-05
50,5131.27,1.90875,3.93624,0.03376,0.49976,0.06439,0.07637,0.0395,nan,nan,nan,4.17069e-05,4.17069e-05,4.17069e-05
51,5200.58,1.87418,3.93402,0.03285,0.51155,0.06845,0.06886,0.03461,nan,nan,nan,4.0905e-05,4.0905e-05,4.0905e-05
52,5279.89,1.89435,3.8936,0.0336,0.49928,0.07546,0.07715,0.04079,nan,nan,nan,4.01031e-05,4.01031e-05,4.01031e-05
53,5473.69,1.8808,3.88167,0.0338,0.49044,0.08232,0.07398,0.03956,nan,nan,nan,3.93012e-05,3.93012e-05,3.93012e-05
54,5612.47,1.89237,3.89823,0.03363,0.48398,0.07979,0.08154,0.04423,nan,nan,nan,3.84993e-05,3.84993e-05,3.84993e-05
55,5725.47,1.87557,3.9009,0.0332,0.47544,0.07885,0.07845,0.04117,nan,nan,nan,3.76974e-05,3.76974e-05,3.76974e-05
56,5788.09,1.88893,3.86439,0.0333,0.50533,0.0777,0.07769,0.04138,nan,nan,nan,3.68955e-05,3.68955e-05,3.68955e-05
57,5857.25,1.89574,3.86334,0.03338,0.50391,0.08567,0.08304,0.04363,nan,nan,nan,3.60936e-05,3.60936e-05,3.60936e-05
58,5921.5,1.88638,3.85274,0.03386,0.48269,0.08486,0.08438,0.04514,nan,nan,nan,3.52917e-05,3.52917e-05,3.52917e-05
59,5990.07,1.8776,3.84667,0.03324,0.47209,0.0981,0.08507,0.04492,nan,nan,nan,3.44898e-05,3.44898e-05,3.44898e-05
60,6154.45,1.86985,3.82954,0.03359,0.47355,0.08435,0.0832,0.04583,nan,nan,nan,3.36879e-05,3.36879e-05,3.36879e-05
61,6262.74,1.86988,3.81229,0.03246,0.49803,0.0856,0.08647,0.04528,nan,nan,nan,3.2886e-05,3.2886e-05,3.2886e-05
62,6373.12,1.86937,3.76906,0.03277,0.44378,0.0925,0.08367,0.04459,nan,nan,nan,3.20841e-05,3.20841e-05,3.20841e-05
63,6448.05,1.86906,3.81614,0.03248,0.48005,0.09402,0.08834,0.04669,nan,nan,nan,3.12822e-05,3.12822e-05,3.12822e-05
64,6527.33,1.87915,3.79592,0.03328,0.47404,0.09494,0.0863,0.04481,nan,nan,nan,3.04803e-05,3.04803e-05,3.04803e-05
65,6611.73,1.86589,3.76098,0.03292,0.46554,0.10249,0.09003,0.04712,nan,nan,nan,2.96784e-05,2.96784e-05,2.96784e-05
66,6689.64,1.86672,3.77673,0.03261,0.48634,0.1,0.08833,0.0447,nan,nan,nan,2.88765e-05,2.88765e-05,2.88765e-05
67,6848.04,1.87012,3.755,0.03325,0.4813,0.09609,0.09099,0.04562,nan,nan,nan,2.80746e-05,2.80746e-05,2.80746e-05
68,6976.98,1.85753,3.75001,0.03262,0.47183,0.09912,0.08834,0.04526,nan,nan,nan,2.72727e-05,2.72727e-05,2.72727e-05
69,7117.22,1.86174,3.73745,0.03252,0.45834,0.09402,0.08842,0.04593,nan,nan,nan,2.64708e-05,2.64708e-05,2.64708e-05
70,7267.22,1.85547,3.74962,0.03282,0.46678,0.09621,0.09209,0.04705,nan,nan,nan,2.56689e-05,2.56689e-05,2.56689e-05
71,7365.29,1.84844,3.71703,0.03239,0.48458,0.08887,0.09215,0.04878,nan,nan,nan,2.4867e-05,2.4867e-05,2.4867e-05
72,7486.93,1.85321,3.69867,0.03297,0.44156,0.09413,0.08957,0.04542,nan,nan,nan,2.40651e-05,2.40651e-05,2.40651e-05
73,7578.4,1.87714,3.70933,0.03335,0.45878,0.09464,0.08859,0.04549,nan,nan,nan,2.32632e-05,2.32632e-05,2.32632e-05
74,7674.45,1.85533,3.68076,0.03264,0.47938,0.09514,0.0921,0.04703,nan,nan,nan,2.24613e-05,2.24613e-05,2.24613e-05
75,7802.7,1.83836,3.6897,0.03265,0.46021,0.09574,0.09573,0.04854,nan,nan,nan,2.16594e-05,2.16594e-05,2.16594e-05
76,7882,1.85823,3.70676,0.03274,0.43822,0.09779,0.09484,0.04822,nan,nan,nan,2.08575e-05,2.08575e-05,2.08575e-05
77,7957.67,1.84557,3.6933,0.03211,0.46314,0.09774,0.09532,0.0481,nan,nan,nan,2.00556e-05,2.00556e-05,2.00556e-05
78,8087.56,1.84671,3.6902,0.03266,0.47608,0.09765,0.09485,0.049,nan,nan,nan,1.92537e-05,1.92537e-05,1.92537e-05
79,8147.46,1.84667,3.7034,0.03257,0.46365,0.10369,0.09575,0.05001,nan,nan,nan,1.84518e-05,1.84518e-05,1.84518e-05
80,8205.05,1.83411,3.6653,0.03198,0.43902,0.10623,0.094,0.04755,nan,nan,nan,1.76499e-05,1.76499e-05,1.76499e-05
81,8285.92,1.8388,3.66346,0.03188,0.45866,0.10488,0.09687,0.04881,nan,nan,nan,1.6848e-05,1.6848e-05,1.6848e-05
82,8355.09,1.83774,3.65993,0.03233,0.46259,0.10617,0.0956,0.04956,nan,nan,nan,1.60461e-05,1.60461e-05,1.60461e-05
83,8413.3,1.85237,3.66478,0.03273,0.43783,0.10566,0.09637,0.04862,nan,nan,nan,1.52442e-05,1.52442e-05,1.52442e-05
84,8470.87,1.84017,3.63063,0.03249,0.43486,0.10399,0.09905,0.05077,nan,nan,nan,1.44423e-05,1.44423e-05,1.44423e-05
85,8528.43,1.83746,3.68191,0.03256,0.45245,0.10928,0.1001,0.05091,nan,nan,nan,1.36404e-05,1.36404e-05,1.36404e-05
86,8594.46,1.84624,3.65067,0.03226,0.44473,0.11003,0.10372,0.0533,nan,nan,nan,1.28385e-05,1.28385e-05,1.28385e-05
87,8653.13,1.84025,3.62426,0.0325,0.45617,0.11027,0.10853,0.05591,nan,nan,nan,1.20366e-05,1.20366e-05,1.20366e-05
88,8712.12,1.83935,3.66669,0.03255,0.43505,0.11139,0.10998,0.0569,nan,nan,nan,1.12347e-05,1.12347e-05,1.12347e-05
89,8770.67,1.84057,3.64636,0.03246,0.45335,0.11197,0.11074,0.05812,nan,nan,nan,1.04328e-05,1.04328e-05,1.04328e-05
90,8829.52,1.83814,3.61252,0.0324,0.44954,0.11765,0.11282,0.06008,nan,nan,nan,9.6309e-06,9.6309e-06,9.6309e-06
91,9249.64,2.01034,3.7819,0.04908,0.39168,0.12048,0.09249,0.04557,nan,nan,nan,8.829e-06,8.829e-06,8.829e-06
92,9433.52,1.91926,3.67577,0.04646,0.40197,0.10692,0.10105,0.05016,nan,nan,nan,8.0271e-06,8.0271e-06,8.0271e-06
93,9542.85,1.90651,3.65876,0.04556,0.41248,0.10474,0.10296,0.05069,nan,nan,nan,7.2252e-06,7.2252e-06,7.2252e-06
94,9645.83,1.90183,3.60019,0.04583,0.43752,0.11002,0.10342,0.05105,nan,nan,nan,6.4233e-06,6.4233e-06,6.4233e-06
95,9760.66,1.89126,3.60894,0.04472,0.42128,0.11552,0.10236,0.05011,nan,nan,nan,5.6214e-06,5.6214e-06,5.6214e-06
96,9890.51,1.88107,3.60273,0.04461,0.42439,0.12285,0.11023,0.05573,nan,nan,nan,4.8195e-06,4.8195e-06,4.8195e-06
97,9968.55,1.87654,3.59106,0.04467,0.40506,0.12545,0.10432,0.05162,nan,nan,nan,4.0176e-06,4.0176e-06,4.0176e-06
98,10099.2,1.88104,3.59697,0.04497,0.42124,0.11997,0.10955,0.05591,nan,nan,nan,3.2157e-06,3.2157e-06,3.2157e-06
99,10214.7,1.88014,3.60803,0.04466,0.41604,0.11861,0.10787,0.05355,nan,nan,nan,2.4138e-06,2.4138e-06,2.4138e-06
100,10290.2,1.87125,3.57601,0.04444,0.4203,0.12363,0.10323,0.05181,nan,nan,nan,1.6119e-06,1.6119e-06,1.6119e-06
