epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.851,3.78655,9.41918,0.0738,0,0,0,0,4.0595,4.62924,0.10015,2.68457e-05,2.68457e-05,2.68457e-05
2,387.507,3.75483,8.88801,0.07338,0,0,0,0,3.98498,4.68858,0.10063,5.33126e-05,5.33126e-05,5.33126e-05
3,455.849,3.6696,8.44346,0.07292,0,0,0,0,3.73497,4.62625,0.10007,7.9245e-05,7.9245e-05,7.9245e-05
4,578.739,3.44153,7.85709,0.06843,0,0,0,0,3.71177,4.60689,0.09718,7.85943e-05,7.85943e-05,7.85943e-05
5,735.942,3.24292,7.38079,0.0649,0.00014,0.00516,5e-05,2e-05,3.22999,4.54421,0.08752,7.77924e-05,7.77924e-05,7.77924e-05
6,836.862,3.06279,6.98841,0.06053,2e-05,0.00057,0,0,3.36676,4.54913,0.08966,7.69905e-05,7.69905e-05,7.69905e-05
7,923.39,2.95589,6.74964,0.05893,0.00066,0.00708,0.00019,5e-05,3.02481,4.46645,0.08215,7.61886e-05,7.61886e-05,7.61886e-05
8,1025.81,2.84276,6.41038,0.05598,0.00113,0.02186,0.00051,0.00015,2.99029,4.3899,0.08113,7.53867e-05,7.53867e-05,7.53867e-05
9,1198,2.75434,6.15573,0.05362,0.00161,0.02931,0.00092,0.0003,2.98806,4.33831,0.08098,7.45848e-05,7.45848e-05,7.45848e-05
10,1347.94,2.67462,5.95143,0.05249,0.0029,0.03905,0.0022,0.00078,2.91686,4.30457,0.07847,7.37829e-05,7.37829e-05,7.37829e-05
11,1441.95,2.6007,5.72701,0.04988,0.00279,0.05972,0.0021,0.00062,2.81352,4.27554,0.07628,7.2981e-05,7.2981e-05,7.2981e-05
12,1512.15,2.55795,5.55847,0.04937,0.00122,0.0571,0.00149,0.00056,2.74807,4.26997,0.07414,7.21791e-05,7.21791e-05,7.21791e-05
13,1576.98,2.48357,5.43417,0.04773,0.00749,0.09976,0.00246,0.00079,2.71078,4.1977,0.07296,7.13772e-05,7.13772e-05,7.13772e-05
14,1655.82,2.43,5.25736,0.04604,0.00533,0.14116,0.00457,0.00121,2.6088,4.23713,0.06955,7.05753e-05,7.05753e-05,7.05753e-05
15,1793.84,2.3744,5.15487,0.04474,0.00393,0.12339,0.00715,0.00228,2.55318,4.22692,0.06797,6.97734e-05,6.97734e-05,6.97734e-05
16,1877.83,2.32623,5.04788,0.04377,0.01559,0.16909,0.00957,0.00369,2.46846,4.69522,0.06508,6.89715e-05,6.89715e-05,6.89715e-05
17,2022.84,2.27588,4.95635,0.04292,0.00546,0.22949,0.01484,0.00597,2.39199,4.0631,0.06243,6.81696e-05,6.81696e-05,6.81696e-05
18,2087.22,2.24434,4.89104,0.04165,0.00564,0.23891,0.01898,0.00855,2.3379,4.21523,0.06053,6.73677e-05,6.73677e-05,6.73677e-05
19,2155.41,2.21449,4.81356,0.04099,0.00616,0.25163,0.01505,0.00604,2.3881,4.21807,0.06211,6.65658e-05,6.65658e-05,6.65658e-05
