epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9718.17,1.00161,0.98272,0.02101,0.83052,0.84023,0.89719,0.65144,0.97278,0.62163,0.03277,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10017.9,0.99591,0.97091,0.02095,0.83532,0.83164,0.89679,0.64736,0.98129,0.6224,0.03292,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10314.8,0.98363,0.94503,0.02047,0.83657,0.83702,0.90561,0.65835,0.95616,0.61028,0.03178,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10615.9,0.98422,0.95793,0.02033,0.80536,0.84145,0.89583,0.65385,0.96001,0.63653,0.03214,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10912.2,0.97291,0.93289,0.02016,0.87708,0.81178,0.90176,0.6604,0.95871,0.61957,0.0319,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11210.4,0.96364,0.92759,0.02004,0.82635,0.84497,0.91192,0.66863,0.94678,0.60838,0.03123,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11504.9,0.96147,0.91762,0.01984,0.8605,0.83881,0.91378,0.68371,0.93343,0.56293,0.03086,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11799.7,0.9628,0.89292,0.01997,0.85074,0.83121,0.90893,0.67061,0.93865,0.5832,0.03129,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12097.7,0.94887,0.86632,0.01959,0.81966,0.85037,0.90719,0.67108,0.94001,0.59667,0.03093,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12393.1,0.95323,0.88094,0.01967,0.87148,0.82481,0.90232,0.67142,0.91861,0.6045,0.03005,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12689.2,0.94882,0.86877,0.01953,0.86131,0.83135,0.9116,0.68205,0.90809,0.57481,0.02993,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12984.3,0.94146,0.84522,0.01918,0.87832,0.84793,0.91482,0.6826,0.9121,0.54694,0.02987,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13275,0.9331,0.84202,0.01904,0.8633,0.8454,0.91296,0.68052,0.91053,0.56409,0.02972,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13567.4,0.9284,0.82403,0.01895,0.8867,0.85149,0.92349,0.6879,0.91951,0.52459,0.0303,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13860.6,0.92533,0.83515,0.01895,0.86695,0.86322,0.92613,0.69102,0.91612,0.54168,0.03011,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14182.2,0.92059,0.82171,0.01899,0.85702,0.86368,0.92159,0.69156,0.9136,0.55411,0.02989,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14515.2,0.9256,0.81363,0.01898,0.86345,0.86049,0.92558,0.69377,0.92797,0.5295,0.03062,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14850.1,0.91283,0.8017,0.01845,0.89173,0.84949,0.92725,0.70048,0.90096,0.50725,0.02954,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15183.1,0.9066,0.80161,0.01855,0.89143,0.83815,0.92349,0.69506,0.91692,0.52412,0.03003,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15503.9,0.902,0.80046,0.01836,0.86089,0.87974,0.92933,0.7024,0.89858,0.51017,0.02958,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15821.6,0.8991,0.77646,0.01842,0.89258,0.83907,0.9248,0.69765,0.89044,0.53223,0.02904,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16132.2,0.89528,0.76849,0.01819,0.87465,0.87351,0.92807,0.70442,0.88326,0.52976,0.02887,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16441.8,0.89338,0.75883,0.01823,0.8868,0.86092,0.93263,0.70806,0.88664,0.49264,0.02902,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16751.2,0.88641,0.75169,0.01785,0.87271,0.88781,0.93168,0.70267,0.88942,0.51318,0.02908,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17061.2,0.87944,0.73432,0.0179,0.87462,0.87323,0.93493,0.71292,0.88512,0.49108,0.02878,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17372,0.86884,0.7453,0.0178,0.89864,0.87108,0.94172,0.72334,0.86119,0.47475,0.02772,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17681.2,0.87184,0.71696,0.01764,0.886,0.87956,0.94006,0.71725,0.86351,0.49452,0.02794,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17990.4,0.85661,0.6985,0.01732,0.89851,0.88443,0.941,0.7225,0.85632,0.46828,0.02761,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18299.9,0.86504,0.71722,0.0177,0.87905,0.87474,0.93545,0.71872,0.86393,0.50456,0.02788,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18609.6,0.85682,0.69808,0.01716,0.89492,0.87068,0.93444,0.72085,0.85172,0.4923,0.02754,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18922.8,0.85444,0.70947,0.01725,0.8897,0.88071,0.93357,0.72378,0.85751,0.48326,0.02768,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19233.9,0.84144,0.68358,0.01691,0.90063,0.86842,0.93673,0.72032,0.87005,0.48468,0.02816,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19538.4,0.84409,0.67716,0.01704,0.89618,0.87262,0.93385,0.72041,0.86372,0.47804,0.02785,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19855.6,0.84257,0.68279,0.01697,0.90066,0.85541,0.92992,0.71627,0.86036,0.4971,0.02783,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20147.9,0.84574,0.67052,0.01697,0.89942,0.87272,0.93489,0.71909,0.85478,0.48696,0.02753,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20438.3,0.83695,0.6632,0.01672,0.90759,0.87539,0.93631,0.7217,0.84966,0.48155,0.02739,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20717.9,0.81729,0.64461,0.01651,0.91017,0.88541,0.94273,0.72898,0.8511,0.456,0.02754,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20997.7,0.81892,0.63387,0.01642,0.88688,0.88656,0.93774,0.72516,0.85325,0.47818,0.02752,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21277.4,0.81348,0.63091,0.01633,0.89978,0.88083,0.93808,0.72304,0.8523,0.46187,0.02747,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,21557.2,0.81368,0.62891,0.01646,0.87153,0.90586,0.93769,0.72449,0.83904,0.46454,0.02688,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,21839.6,0.81749,0.63983,0.01646,0.89123,0.88628,0.94077,0.7281,0.84057,0.46158,0.02688,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22121.9,0.80059,0.62785,0.0161,0.89045,0.88833,0.94052,0.72756,0.83544,0.46165,0.02669,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,22402.5,0.80656,0.62349,0.01614,0.88583,0.89576,0.93985,0.73095,0.84108,0.45935,0.0269,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,22684.7,0.80663,0.62504,0.01603,0.89905,0.8773,0.93855,0.73183,0.83167,0.47481,0.02661,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,22967,0.78976,0.61391,0.01561,0.88862,0.89322,0.94109,0.73446,0.83197,0.45401,0.02658,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,23252,0.79462,0.61004,0.01576,0.91153,0.87313,0.93966,0.72888,0.8415,0.46287,0.02694,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,23536,0.78305,0.60017,0.01554,0.8894,0.89055,0.94158,0.73047,0.84501,0.46816,0.02704,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,23817.6,0.77641,0.59956,0.01539,0.90257,0.87738,0.93916,0.72975,0.83704,0.46661,0.02681,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24101.9,0.77603,0.57717,0.01544,0.89047,0.88424,0.93838,0.72703,0.83749,0.47109,0.02688,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24386.1,0.77249,0.58877,0.01532,0.90362,0.87905,0.9384,0.7266,0.83557,0.4694,0.02664,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,24673.1,0.76696,0.57351,0.01515,0.91251,0.87944,0.94003,0.73121,0.83525,0.4634,0.02668,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,24975.8,0.76579,0.58204,0.01512,0.90617,0.88115,0.93964,0.73298,0.83149,0.4701,0.02661,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,25272.7,0.76516,0.57648,0.0152,0.90705,0.88447,0.93977,0.73366,0.83377,0.45997,0.02668,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
